smiles_1,smiles_2,smiles_3,smiles_4,smiles_5
O=C=Nc1ccccc1,O=C=Nc1ccccc1,,O=C=Nc1ccccc1,O=C=Nc1ccccc1
O=P(Cl)(Cl)Cl,,,O=P(Cl)(Cl)Cl,Cl[P](Cl)(Cl)=O
ClP(Cl)Cl,ClP(Cl)Cl,,,ClP(Cl)Cl
C1CCNCC1,,,C1CCNCC1,C1CCNCC1
CCC=O,,,CCC=O,CCC=O
CCC,,,CCC,CCC
N#CCC#N,N#CCC#N,,N#CCC#N,N#CCC#N
CCC#N,CCC#N,,CCC#N,CCC#N
CCC(=O)O,CCC(=O)O,,CCC(=O)O,CCC(O)=O
CCCO,,,CCCO,CCCO
C=CC,,,C=CC,CC=C
CCCOC(C)=O,,,CCCOC(C)=O,CCCOC(C)=O
CCCOC=O,,,CCCOC=O,CCCOC=O
CCCO[N+](=O)[O-],CCCO[N+](=O)[O-],,CCCO[N+](=O)[O-],CCCO[N+]([O-])=O
CCCOC(=O)CC,CCCOC(=O)CC,,CCCOC(=O)CC,CCCOC(=O)CC
CCCN,CCCN,,CCCN,CCCN
CCCc1ccccc1,CCCc1ccccc1,,CCCc1ccccc1,CCCc1ccccc1
c1cnccn1,,,c1cnccn1,c1cnccn1
c1ccncc1,,,c1ccncc1,c1ccncc1
c1cc[nH]c1,,,c1cc[nH]c1,[nH]1cccc1
C1CCNC1,,,C1CCNC1,[H+].[Cl-].C1CCNC1
c1ccc2ncccc2c1,c1ccc2ncccc2c1,,c1ccc2ncccc2c1,c1ccc2ncccc2c1
O=Cc1ccccc1O,CC(S)c1cccs1,,O=Cc1ccccc1O,Oc1ccccc1C=O
C=Cc1ccccc1,,,C=Cc1ccccc1,C=Cc1ccccc1
O=S1(=O)CCCC1,O=S1(=O)CCCC1,,O=S1(=O)CCCC1,O=[S]1(=O)CCCC1
O=S(=O)(Cl)Cl,O=S(=O)(Cl)Cl,,O=S(=O)(Cl)Cl,Cl[S](Cl)(=O)=O
ClC(Cl)=C(Cl)Cl,,,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl
ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl
C1CCOC1,C1CCOC1,,C1CCOC1,C1CCOC1
c1ccc2c(c1)CCCC2,c1ccc2c(c1)CCCC2,,c1ccc2c(c1)CCCC2,C1CCc2ccccc2C1
C[Si](C)(C)C,,,C[Si](C)(C)C,C[Si](C)(C)C
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O
C1CCSCC1,C1CCSCC1,,C1CCSCC1,C1CCSCC1
O=S(Cl)Cl,O=S(Cl)Cl,,,ClS(Cl)=O
c1ccsc1,NC(=O)NNC(N)=O,,c1ccsc1,s1cccc1
Cc1ccccc1,,,Cc1ccccc1,Cc1ccccc1
Cl/C=C/Cl,,,ClC=CCl,Cl\C=C\Cl
C1CC[C@H]2CCCC[C@@H]2C1,,,C1CCC2CCCCC2C1,C1CCC2CCCCC2C1
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(=O)OCC(COC(C)=O)OC(C)=O,,CC(=O)OCC(COC(C)=O)OC(C)=O,CC(=O)OCC(COC(C)=O)OC(C)=O
BrC(Br)Br,,,BrC(Br)Br,BrC(Br)Br
CCCCN(CCCC)CCCC,CCCCN(CCCC)CCCC,,CCCCN(CCCC)CCCC,CCCCN(CCCC)CCCC
N#CC(Cl)(Cl)Cl,N#CC(Cl)(Cl)Cl,,N#CC(Cl)(Cl)Cl,ClC(Cl)(Cl)C#N
ClC=C(Cl)Cl,,,ClC=C(Cl)Cl,ClC=C(Cl)Cl
FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl
ClC(Cl)Cl,,,ClC(Cl)Cl,ClC(Cl)Cl
O=[N+]([O-])C(Cl)(Cl)Cl,,,O=[N+]([O-])C(Cl)(Cl)Cl,[O-][N+](=O)C(Cl)(Cl)Cl
C1=CC2C3C=CC(C3)C2C1,,,C1=CC2C3C=CC(C3)C2C1,C1C=CC2C3CC(C=C3)C12
CCOC(OCC)OCC,CCOC(OCC)OCC,,CCOC(OCC)OCC,CCOC(OCC)OCC
CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,,CCOP(=O)(OCC)OCC,CCO[P](=O)(OCC)OCC
CCN(CC)CC,,,CCN(CC)CC,CCN(CC)CC
O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,,O=C(O)C(F)(F)F,OC(=O)C(F)(F)F
FC(F)(F)c1ccccc1,,,FC(F)(F)c1ccccc1,FC(F)(F)c1ccccc1
COP(=O)(OC)OC,COP(=O)(OC)OC,,COP(=O)(OC)OC,CO[P](=O)(OC)OC
c1ccc(C(c2ccccc2)c2ccccc2)cc1,,,c1ccc(C(c2ccccc2)c2ccccc2)cc1,c1ccc(cc1)C(c2ccccc2)c3ccccc3
CCCCCCCCCCC,CCCCCCCCCCC,,CCCCCCCCCCC,CCCCCCCCCCC
CCCCCCCCCCCO,CCCCCCCCCCCO,,CCCCCCCCCCCO,CCCCCCCCCCCO
C=COC(C)=O,C=CCC(=O)[O-],,C=COC(C)=O,CC(=O)OC=C
O,O,,O,O
CC1(C)OCC(CO)O1,,,,
Cl/C=C/Cl,,,,
FC(F)(F)Oc1ccccc1,FC(F)(F)Oc1ccccc1,,,
Cl/C=C\Cl,,,,
C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,,,
CN1CCCCCC1=O,CN1CCCCCC1=O,,,
OC(C(F)(F)F)C(F)(F)F,,,,
CC(=O)OCC(C)OC(C)=O,,,,
COCC(C)OC,,,,
OCCO,OCCO,,,
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,,,
C1COCO1,,,,
C1CSCS1,,,,
O=S1OCCO1,,,,
C1COCCO1,,,,
,C1CCC2=NCCCN2CC1,,,
CCOCCOC(C)=O,,,,
CCCCC(CC)CO,,,,
COCC(C)OCC(C)OC,COCC(C)OC,,,
CCC(C)CO,,,,
CCC(C)(C)O,CCC(C)(C)O,,,
CC1CCCCC1=O,,,,
CC(C)CO,CC(C)CO,,,
Cc1ccccn1,Cc1ccccn1,,,
COC(C)(C)OC,,,,
CC1(C)OCCO1,,,,
O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,,,
O=C(OC(=O)C(F)(F)F)C(F)(F)F,O=C(OC(=O)C(F)(F)F)C(F)(F)F,,,
OCC(F)(F)F,,,,
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,,,,
CC(C)CCO,,,,
CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1,,,
CC(=O)CC(C)(C)O,,,,
