smiles_1,smiles_2,smiles_3,smiles_4,smiles_5
COC(OC)OC,COC(OC)OC,,,
COCC(C)O,,,COCC(C)O,CC(O)COC
CCCCCO,,,,CCCCCO
COCC(COC)OC,,,COCC(COC)OC,COCC(COC)OC
OCCCO,,,OCCCO,OCCCO
,,,CCCCC(CC)COC(C)=O,CCCCC(CC)COC(=O)C
CC(C)O,CC(C)O,,CC(C)O,CC(C)O
O=C1OCCCCO1,,,CCC1COC(=O)O1,CCC1COC(=O)O1
COC1CCCC1,COC1CCCC1,,COC1CCCC1,COC1CCCC1
,,,O=C1CCC2COC1O2,C1CC(=O)[C@@H]2OCC1O2
CCCCOC(=O)CCC(=O)OCCCC,,,CCCCOC(=O)CCC(=O)OCCCC,CCCCOC(=O)CCC(=O)OCCCC
COC(=O)CCCCC(=O)OC,,,COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC
,,,COC1COC2C(OC)COC12,COC1COC2C1OCC2OC
CCOC(=O)C(C)O,,,CCOC(=O)C(C)O,CCOC(=O)C(C)O
CCOC(C)(C)C,CCOC(C)(C)C,,CCOC(C)(C)C,O(C(C)(C)C)CC
OCc1ccco1,,,OCc1ccco1,c1cc(oc1)CO
CC1CCC(=O)O1,,CC1CCC(=O)O1,CC1CCC(=O)O1,CC1CCC(=O)O1
CC(=O)OCCOC(C)=O,,,CC(=O)OCCOC(C)=O,CC(=O)OCCOC(=O)C
CC(=O)OC(C)C,,,CC(=O)OC(C)C,CC(OC(C)C)=O
CO,,,CO,CO
CCCCCCCC/C=C\CCCCCCCC(=O)OC,,,CCCCCCCCC=CCCCCCCCC(=O)OCC,CCCCCCCCC=CCCCCCCCC(=O)OC
Cc1ccc(C(C)C)cc1,,,Cc1ccc(C(C)C)cc1,c1cc(ccc1C(C)C)C
,,,C=C(C)C1CC=C(C)CC1,CC1=CCC(CC1)C(=C)C
CC(=O)OC(C)(C)C,,,CC(=O)OC(C)(C)C,O=C(OC(C)(C)C)C
CCOC(C)(C)CC,,,CCC(C)(C)OC,O(C(C)(C)CC)C
OCC1CCCO1,OCC1CCCO1,,OCC1CCCO1,C1CC(OC1)CO
CC1(C)CCOC1(C)C,,,CC1(C)CCC(C)(C)O1,CC1(CCC(O1)(C)C)C
,,,,Cc1c(C)cccc1
