solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
diiodomethane,,,75-11-6,CH2I2,ICI,https://doi.org/10.1039/C9SC01844A
diisopropyl ether,diisopropylether,,108-20-3,C6H14O,CC(C)OC(C)C,https://doi.org/10.1039/C9SC01844A
diisopropyl sulfide,"2,4-dimethyl-3-thiapentane",,625-80-9,C6H14S,CC(C)SC(C)C,https://doi.org/10.1039/C9SC01844A
diisopropylamine,,,108-18-9,C6H15N,CC(C)NC(C)C,https://doi.org/10.1039/C9SC01844A
dimethoxymethane,,,109-87-5,C3H8O2,COCOC,https://doi.org/10.1039/C9SC01844A
dimethyl carbonate,dimethylcarbonate,,616-38-6,C3H6O3,COC(=O)OC,https://doi.org/10.1039/C9SC01844A
dimethyl disulfide,dimethyldisulfide,,624-92-0,C2H6S2,CSSC,https://doi.org/10.1039/C9SC01844A
dimethyl phthalate,dimethylphthalate,,131-11-3,C10H10O4,COC(=O)c1ccccc1C(=O)OC,https://doi.org/10.1039/C9SC01844A
dimethyl propanedioate,dimethylmalonate,,108-59-8,C5H8O4,COC(=O)CC(=O)OC,https://doi.org/10.1039/C9SC01844A
dimethyl sulfate,dimethylsulfate,,77-78-1,C2H6O4S,CO[S](=O)(=O)OC,https://doi.org/10.1039/C9SC01844A
dimethyl sulfide,dimethylsulfide,,75-18-3,C2H6S,CSC,https://doi.org/10.1039/C9SC01844A
dimethyl sulfoxide,dimethylsulfoxide,,67-68-5,C2H6OS,C[S](C)=O,https://doi.org/10.1039/C9SC01844A
dimethylcyanamide,,,1467-79-4,C3H6N2,CN(C)C#N,https://doi.org/10.1039/C9SC01844A
dioxane,,,123-91-1,C4H8O2,C1COCCO1,https://doi.org/10.1039/C9SC01844A
dipentyl ether,di-n-pentylether,,693-65-2,C10H22O,CCCCCOCCCCC,https://doi.org/10.1039/C9SC01844A
diphenyl ether,diphenylether,,101-84-8,C12H10O,O(c1ccccc1)c2ccccc2,https://doi.org/10.1039/C9SC01844A
diphenylmethane,,,101-81-5,C13H12,C(c1ccccc1)c2ccccc2,https://doi.org/10.1039/C9SC01844A
dipropyl ether,di-n-propylether,,111-43-3,C6H14O,CCCOCCC,https://doi.org/10.1039/C9SC01844A
dipropylamine,,,142-84-7,C6H15N,CCCNCCC,https://doi.org/10.1039/C9SC01844A
dodecane,,,112-40-3,C12H26,CCCCCCCCCCCC,https://doi.org/10.1039/C9SC01844A
ethanediol,glycol,,107-21-1,C2H6O2,OCCO,https://doi.org/10.1039/C9SC01844A
ethanethiol,,,75-08-1,C2H6S,CCS,https://doi.org/10.1039/C9SC01844A
ethanol,,,64-17-5,C2H6O,CCO,https://doi.org/10.1039/C9SC01844A
ethoxybenzene,,,103-73-1,C8H10O,CCOc1ccccc1,https://doi.org/10.1039/C9SC01844A
ethyl 2-hydroxypropanoate,2-hydroxypropanoicacidethylester,,97-64-3,C5H10O3,CCOC(=O)C(C)O,https://doi.org/10.1039/C9SC01844A
